,text,text_final
42,"['startup', 'in', 'residence', '(', 'stir', ')', 'connects', 'startups', 'with', 'local', 'governments', 'to', 'develop', 'technology', 'products', 'that', 'solve', 'real', 'civic', 'challenges', '.', 'apply', 'for', 'their', '16', 'week', 'program', 'by', 'january', '1', 'at', 'https', ':', '//startupinresidence.org/apply/', 'pic.twitter.com/yp3ywxivvh']","['residence', 'stir', 'connect', 'startups', 'local', 'government', 'develop', 'product', 'solve', 'civic', 'challenge', 'apply']"
43,"['time', 'for', 'chicago', 'new', 'years', 'trip', '!', 'x333', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",['time']
44,"['the', 'tsa', 'changed', 'its', 'mind', 'on', 'this']",['tsa']
45,"['real', 'id-', 'new', 'id', 'requirements', 'effective', 'january', '22']",[]
46,"['off', 'for', 'an', 'end', 'of', 'year', 'adventure', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
47,"['i', ""'m"", 'at', 'international', 'terminal', '-', '@', 'flysfo', 'in', 'san', 'francisco']",['terminal']
48,"['i', ""'m"", 'at', 'terminal', '2', '-', '@', 'flysfo', 'in', 'san', 'francisco']",['terminal']
49,"['about', 'to', 'board', '!', 'pic.twitter.com/vvcqvc29rf']",[]
50,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
51,"['vegas', 'bound', '!', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
52,"['#', 'fbf', 'to', '1971', 'and', 'the', 'first', '@', 'united', 'mcdonnell', 'douglas', 'dc-10', '(', '@', 'flysfo', ')', 'pic.twitter.com/l3eyru8sph']","['fbf', 'first', 'mcdonnell', 'douglas']"
53,['yes'],[]
54,"['hey', '@', 'flysfo']",[]
55,"['going', 'to', 'sfo', 'this', 'holiday', 'season', '?', 'try', '@', 'flysfo', '’', 's', 'express', 'drop-off', 'and', 'pick-up', 'areas', '.', 'stop', 'circling', 'and', 'follow', 'the', 'arrows', 'for', '30', 'minutes', 'of', 'free', 'parking', '.', 'http', ':', '//flysfo.com/express', 'pic.twitter.com/tac59j7ml3']","['stop', 'minute', 'free', 'parking']"
56,"['we', 'have', 'had', 'them', 'for', 'quite', 'some', 'time', '.', 'great', 'idea', 'we', 'are', 'happy', 'to', 'see', 'spreading', '!', '#', 'sfo']","['time', 'great', 'see']"
57,"['look', 'at', 'that', '!', 'los', 'angeles', 'has', 'bicycle', 'ambulances', '!', 'i', 'had', 'no', 'idea', '.', 'what', 'about', 'you']","['bicycle', 'ambulance']"
58,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
59,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
60,"['i', 'can', 'see', 'my', 'house', '!']",['see']
61,"['what', 'is', 'your', 'new', 'year', ""'s"", 'resolution', '?', 'pic.twitter.com/uoevmjswoz']",['resolution']
62,"['https', ':', '//www.airplane-pictures.net/photo/1006029/airport-overview-airport-overview-terminal-building/', '…', 'here', 'you', 'can', 'see', '@', 'flysfo', 'from', 'above', 'as', 'we', 'passed', 'it', 'at', '1800ft', 'the', 'other', 'day', '!']","['see', 'pass']"
