,words,counts
519,similar,8.0
520,simple,8.0
521,simply,8.0
522,smh,8.0
523,song,8.0
524,spending,8.0
525,st,8.0
526,sticker,8.0
527,stink,8.0
528,street,8.0
529,temporary,8.0
530,test,8.0
531,text,8.0
532,thankfully,8.0
533,tight,8.0
534,trade,8.0
535,transport,8.0
536,treatment,8.0
537,unique,8.0
538,useless,8.0
539,warn,8.0
540,worldwide,8.0
541,wrap,8.0
542,accept,7.0
543,activity,7.0
544,addition,7.0
545,aim,7.0
546,airborne,7.0
547,aka,7.0
548,alive,7.0
549,alternate,7.0
550,amenity,7.0
551,appear,7.0
552,apple,7.0
553,architecture,7.0
554,asian,7.0
555,atlantic,7.0
556,attempt,7.0
557,auckland,7.0
558,audit,7.0
559,author,7.0
560,bartender,7.0
561,bin,7.0
562,brand,7.0
563,breach,7.0
564,briefly,7.0
565,bright,7.0
566,brutal,7.0
567,bunch,7.0
568,bur,7.0
569,candy,7.0
570,capital,7.0
571,capture,7.0
572,central,7.0
573,checked,7.0
574,chinaairlinesen,7.0
575,chip,7.0
576,collection,7.0
577,compass,7.0
578,concourse,7.0
579,cousin,7.0
580,cre,7.0
581,crisis,7.0
582,cup,7.0
583,damage,7.0
584,dark,7.0
585,decade,7.0
586,deice,7.0
587,delivery,7.0
588,democracy,7.0
589,determine,7.0
590,digital,7.0
591,dining,7.0
592,direction,7.0
593,document,7.0
594,doubt,7.0
595,drag,7.0
596,dry,7.0
597,dublinairport,7.0
598,dump,7.0
599,easily,7.0
600,epic,7.0
601,exclusive,7.0
602,famous,7.0
603,father,7.0
604,february,7.0
605,flag,7.0
606,foodie,7.0
607,forecasting,7.0
608,fra,7.0
609,frustrating,7.0
610,gift,7.0
611,goin,7.0
612,guitar,7.0
613,gust,7.0
614,gwr,7.0
615,handler,7.0
616,hilarious,7.0
617,hill,7.0
618,hospitality,7.0
619,hurry,7.0
620,iceland,7.0
621,idiot,7.0
622,incompetent,7.0
623,infrastructure,7.0
624,innovation,7.0
625,inspire,7.0
626,jacket,7.0
627,johnwayneair,7.0
628,key,7.0
629,kiss,7.0
630,ksfo,7.0
631,letthefamiliesouthttps,7.0
632,license,7.0
633,lighting,7.0
634,lost,7.0
635,marshal,7.0
636,match,7.0
637,mint,7.0
638,neighbor,7.0
639,nervous,7.0
640,newyork,7.0
641,nicely,7.0
642,nose,7.0
643,notify,7.0
644,offs,7.0
645,organization,7.0
646,outstanding,7.0
647,overnight,7.0
648,pain,7.0
649,phl,7.0
650,pitairport,7.0
651,plate,7.0
652,platinum,7.0
653,possibly,7.0
654,prefer,7.0
655,pride,7.0
656,properly,7.0
657,rank,7.0
658,refresh,7.0
659,resource,7.0
660,rethink,7.0
661,rough,7.0
662,sample,7.0
663,scan,7.0
664,sculpture,7.0
665,section,7.0
666,shameful,7.0
667,smoothly,7.0
668,sort,7.0
669,specifically,7.0
670,split,7.0
671,sydneyairport,7.0
672,table,7.0
673,themainline,7.0
674,thinking,7.0
675,tired,7.0
676,transfer,7.0
677,ual,7.0
678,verify,7.0
679,violate,7.0
680,vx,7.0
681,whisk,7.0
682,whyiloveao,7.0
683,wild,7.0
684,young,7.0
685,accordingly,6.0
686,ad,6.0
687,admiral,6.0
688,aeroportsmtl,6.0
689,alternative,6.0
690,amendment,6.0
691,amex,6.0
692,angle,6.0
693,anxiety,6.0
694,apart,6.0
695,apilotseye,6.0
696,appropriate,6.0
697,approve,6.0
698,au,6.0
699,audio,6.0
700,autocase,6.0
701,ball,6.0
702,bank,6.0
703,bayresistance,6.0
704,belong,6.0
705,beware,6.0
706,boat,6.0
707,bowl,6.0
708,brilliant,6.0
709,burgerking,6.0
710,cab,6.0
711,cabo,6.0
712,cafe,6.0
713,celiac,6.0
714,chanting,6.0
715,clearance,6.0
716,comfort,6.0
717,commit,6.0
718,conclude,6.0
719,confirmation,6.0
720,coordinate,6.0
721,craft,6.0
722,curbside,6.0
723,dallaslovefield,6.0
724,daniellemorrill,6.0
725,demolition,6.0
726,demonstration,6.0
727,demonstrator,6.0
728,departing,6.0
729,deportation,6.0
730,designate,6.0
731,detainment,6.0
732,detroit,6.0
733,dfs,6.0
734,didnt,6.0
735,dig,6.0
736,discuss,6.0
737,discussion,6.0
738,disgrace,6.0
739,djalexreyes,6.0
740,dl,6.0
741,donald,6.0
742,dubnation,6.0
743,ear,6.0
744,earn,6.0
745,edition,6.0
746,efficient,6.0
747,effortlessly,6.0
748,electric,6.0
749,equatorcoffees,6.0
750,espresso,6.0
751,exp,6.0
752,explanation,6.0
753,fabulous,6.0
754,facilitate,6.0
755,fashion,6.0
756,fb,6.0
757,fit,6.0
758,foggy,6.0
759,frequently,6.0
760,ft,6.0
761,gain,6.0
762,gas,6.0
763,gateway,6.0
764,gensleroncities,6.0
765,gf,6.0
766,ggbridge,6.0
767,gifs,6.0
768,globe,6.0
769,greeting,6.0
770,handling,6.0
771,harvey,6.0
772,harveymilk,6.0
773,haul,6.0
774,hawaiianair,6.0
775,hero,6.0
776,hide,6.0
777,highly,6.0
778,historic,6.0
779,hkg,6.0
780,hmm,6.0
781,hometown,6.0
782,hourly,6.0
783,hug,6.0
784,huh,6.0
785,humanity,6.0
786,hustle,6.0
787,impossible,6.0
788,insight,6.0
789,instagram,6.0
790,instal,6.0
791,interactive,6.0
792,introduce,6.0
793,ipad,6.0
794,israel,6.0
795,jersey,6.0
796,joincapgemini,6.0
797,joint,6.0
798,kona,6.0
799,lake,6.0
800,lately,6.0
801,lauderdale,6.0
802,letthefamilies,6.0
803,letthefamiliesgo,6.0
804,letthelawyersinhttps,6.0
805,luckily,6.0
806,marketing,6.0
807,membership,6.0
808,missed,6.0
809,monitor,6.0
810,movement,6.0
811,mph,6.0
812,munich,6.0
813,neck,6.0
814,noise,6.0
815,onsite,6.0
816,ontario,6.0
817,overtime,6.0
818,participate,6.0
819,pat,6.0
820,period,6.0
821,personnel,6.0
822,plastic,6.0
823,pole,6.0
824,poorly,6.0
825,position,6.0
826,positive,6.0
827,poster,6.0
828,prayer,6.0
829,preparation,6.0
830,prius,6.0
831,product,6.0
832,pt,6.0
833,pup,6.0
834,quote,6.0
835,rapid,6.0
836,reader,6.0
837,religion,6.0
838,reporter,6.0
839,retail,6.0
840,retro,6.0
841,rich,6.0
842,rip,6.0
843,roseanndemoro,6.0
844,ryan,6.0
845,sacintlairport,6.0
846,salad,6.0
847,sanctiflyclub,6.0
848,scenic,6.0
849,screener,6.0
850,seasonal,6.0
851,sergey,6.0
852,settle,6.0
853,shitty,6.0
854,shutdown,6.0
855,signal,6.0
856,silicon,6.0
857,size,6.0
